"Story","Title","Result","Date","Stability","Duration (s)"
"Product tags test","This test will create a new Product in the list","SUCCESS","2020-05-25T23:57:27.318+01:00[Europe/London]","0.0","33.06"
"Product tags test","This test will create a new Product in the list","SUCCESS","2020-05-25T23:57:27.318+01:00[Europe/London]","0.0","33.06"
"Product tags test","Deleting the Product information by UserId ","SUCCESS","2020-05-25T23:58:03.765+01:00[Europe/London]","0.0","2.89"
"Product tags test","Getting the information of all the products","SUCCESS","2020-05-25T23:58:06.656+01:00[Europe/London]","0.0","3.68"
"Product tags test","Getting the information of the product with ID","SUCCESS","2020-05-25T23:58:10.337+01:00[Europe/London]","0.0","2.11"
"Product tags test","Updating the product information and verifying ","SUCCESS","2020-05-25T23:58:12.451+01:00[Europe/London]","0.0","2.11"
"Product tags test","Updating the product information and verifying ","SUCCESS","2020-05-25T23:58:12.451+01:00[Europe/London]","0.0","2.11"
"Stores tags test","This test will Creating a new Store","SUCCESS","2020-05-25T23:58:21.144+01:00[Europe/London]","0.0","1.16"
"Stores tags test","This test will Creating a new Store","SUCCESS","2020-05-25T23:58:21.144+01:00[Europe/London]","0.0","1.16"
"Stores tags test","Deleting the Store information by Id ","SUCCESS","2020-05-25T23:58:22.310+01:00[Europe/London]","0.0","0.69"
"Stores tags test","Getting the information of all the stores","SUCCESS","2020-05-25T23:58:23.009+01:00[Europe/London]","0.0","0.81"
"Stores tags test","Getting the information of the Store with ID","SUCCESS","2020-05-25T23:58:23.845+01:00[Europe/London]","0.0","1.08"
"Stores tags test","This test will update the store information and verify the updated information","SUCCESS","2020-05-25T23:58:24.928+01:00[Europe/London]","0.0","1.27"
"Stores tags test","This test will update the store information and verify the updated information","SUCCESS","2020-05-25T23:58:24.928+01:00[Europe/London]","0.0","1.27"
